Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,Manufacture Part Number 1
D2,0603 Green,TopLayer,D_0603,"2,421,260","1,090,551",360,"0603 LED, Green",LTST-C190KGKT
C36,100n,TopLayer,C_0402_N,"2,325,394","893,701",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C23,100n,BottomLayer,C_0402_N,"1,496,061","1,003,937",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C26,100n,BottomLayer,C_0402_N,"1,350,392","1,027,559",270,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C33,100n,BottomLayer,C_0402_N,"1,988,188","1,774,959",270,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C32,100n,BottomLayer,C_0402_N,"1,992,125","1,566,929",90,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C31,100n,BottomLayer,C_0402_N,"2,078,740","1,500,738",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C30,100n,BottomLayer,C_0402_N,"2,165,353","1,574,803",90,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C29,100n,BottomLayer,C_0402_N,"2,165,353","1,653,543",90,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C28,100n,BottomLayer,C_0402_N,"2,082,676","1,574,803",270,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C27,100n,BottomLayer,C_0402_N,"2,082,676","1,653,543",270,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C22,100n,BottomLayer,C_0402_N,"1,200,785","1,527,559",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C21,100n,BottomLayer,C_0402_N,"1,224,407","1,732,284",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C20,100n,BottomLayer,C_0402_N,"1,318,897","1,740,158",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C19,100n,BottomLayer,C_0402_N,"1,555,118","1,614,173",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C18,100n,BottomLayer,C_0402_N,"1,555,118","1,653,543",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C17,100n,BottomLayer,C_0402_N,"1,279,527","1,653,543",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C16,100n,BottomLayer,C_0402_N,"1,318,895","1,692,913",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C15,100n,BottomLayer,C_0402_N,"1,437,005","1,570,866",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C14,100n,BottomLayer,C_0402_N,"1,496,062","1,633,858",90,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C13,100n,BottomLayer,C_0402_N,"1,456,692","1,633,858",90,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C12,100n,BottomLayer,C_0402_N,"1,515,746","1,692,913",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C11,100n,BottomLayer,C_0402_N,"1,515,746","1,732,284",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C10,100n,BottomLayer,C_0402_N,"1,397,636","1,456,693",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C9,100n,BottomLayer,C_0402_N,"1,417,322","1,712,598",270,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C8,100n,BottomLayer,C_0402_N,"1,377,951","1,712,598",270,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C7,100n,BottomLayer,C_0402_N,"1,319,330","1,456,693",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C6,100n,BottomLayer,C_0402_N,"1,358,267","1,614,173",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C5,100n,BottomLayer,C_0402_N,"1,358,265","1,653,543",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C4,100n,BottomLayer,C_0402_N,"1,570,866","1,885,827",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C3,100n,BottomLayer,C_0402_N,"1,240,157","1,614,173",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C2,100n,BottomLayer,C_0402_N,"1,283,464","1,850,394",180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
C1,100n,BottomLayer,C_0402_N,"1,633,856","1,614,173",0,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
R8,10k0,TopLayer,R_0402-N,"2,325,394","940,945",180,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R14,10k0,TopLayer,R_0402-N,"1,980,315","712,598",360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R13,10k0,TopLayer,R_0402-N,"1,980,315","984,252",360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R7,10k0,TopLayer,R_0402-N,"2,161,417","1,035,433",180,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R5,10k0,TopLayer,R_0402-N,"2,161,417","1,074,803",360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R4,10k0,TopLayer,R_0402-N,"2,007,874","1,322,835",90,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R3,10k0,TopLayer,R_0402-N,"2,047,244","1,322,835",90,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R6,10k0,TopLayer,R_0402-N,"1,948,819","1,377,953",360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
C40,10u,TopLayer,0603x55,"2,423,229","1,165,561",360,"Cap, Chip, 10uF, 10V, ± 15%, X5R, 0603",NMC0603X5R106K10TRPF
FB1,120R,TopLayer,L_0603,"2,417,323","1,421,260",180,"Ferrite bead,120 ohm@100MHz,0.30 ohm @DC, 500mA, 0603",NCB0603R121TR060F
FB3,120R,BottomLayer,L_0603,"1,114,173","1,409,449",0,"Ferrite bead,120 ohm@100MHz,0.30 ohm @DC, 500mA, 0603",NCB0603R121TR060F
FB2,120R,BottomLayer,L_0603,"1,110,236","1,503,937",0,"Ferrite bead,120 ohm@100MHz,0.30 ohm @DC, 500mA, 0603",NCB0603R121TR060F
R10,12k0,TopLayer,R_0402-N,"1,464,567","1,232,284",180,"Resistor, 12.0 kO, 1%, 0.06W, 0402",NRC04F1202TRF
X1,12MHz,BottomLayer,XTAL_3.2mmx2.5mm,"1,185,039","1,094,488",90,"X-tal, 12.000MHz, Cl=20pF, +-18ppm, 3225",ABM8G-12.000MHZ-B4Y-T
C38,18p,BottomLayer,C_0402_N,"1,185,039","980,746",0,"Cap, Chip, 18pF, 25V, ±10%, NPO 0402",NMC0402NPO180J50TRPF
C37,18p,BottomLayer,C_0402_N,"1,185,039","1,260,604",180,"Cap, Chip, 18pF, 25V, ±10%, NPO 0402",NMC0402NPO180J50TRPF
C35,18p,TopLayer,C_0402_N,"1,681,218","984,990",360,"Cap, Chip, 18pF, 25V, ±10%, NPO 0402",NMC0402NPO180J50TRPF
C34,18p,TopLayer,C_0402_N,"1,681,218","1,129,921",180,"Cap, Chip, 18pF, 25V, ±10%, NPO 0402",NMC0402NPO180J50TRPF
R9,1M,BottomLayer,R_0402-N,"1,185,037","1,205,909",0,"Resistor, 1 MO, 1%, 0.06W, 0402",NRC04F1004TRF
R2,1M,TopLayer,R_0402-N,"1,756,022","1,059,055",90,"Resistor, 1 MO, 1%, 0.06W, 0402",NRC04F1004TRF
C39,1u,TopLayer,C_0402_N,"2,411,418","1,354,331",360,"Cap, Chip, 1uF, 10V, ±10%, X5R, 0402",NMC0402X5R105K10TRPF
C24,1u,TopLayer,C_0402_N,"1,560,738","1,129,921",90,"Cap, Chip, 1uF, 10V, ±10%, X5R, 0402",NMC0402X5R105K10TRPF
C25,1u,BottomLayer,C_0402_N,"1,401,574","937,008",180,"Cap, Chip, 1uF, 10V, ±10%, X5R, 0402",NMC0402X5R105K10TRPF
R12,20k0,TopLayer,R_0402-N,"1,618,110","940,945",180,"Resistor, 20 kO, 1%, 0.06W, 0402",NRC06F2002TRF
X2,26MHz,TopLayer,XTAL_2.0mmx1.6mm,"1,677,165","1,059,055",360,"X-tal, 26.000MHz, Cl=6pF, +-18ppm, 2.0 x 1.6mm",XRCGB26M000F2P00R0
H2,2x10,BottomLayer,HDR_2x10_1.27mm,"984,842","2,337,205",180,"CONN, Header, 2x10, TH, 1.27mm",
H3,2x15,BottomLayer,HDR_2x15_1.27mm,"2,039,761","2,337,205",180,"CONN, Header, 2x15, TH, 1.27mm",
H5,2x15,BottomLayer,HDR_2x15_1.27mm,"2,132,284","615,551",180,"CONN, Header, 2x15, TH, 1.27mm",
H4,2x15,BottomLayer,HDR_2x15_1.27mm,"2,414,764","1,846,850",270,"CONN, Header, 2x15, TH, 1.27mm",
H1,2x30,BottomLayer,HDR_2x30_1.27mm,"734,841","1,471,850",270,"CONN, Header, 2x30, TH, 1.27mm",
FB7,300R,BottomLayer,FB_0402-NIC,"1,354,329","1,133,858",270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
FB6,300R,BottomLayer,FB_0402-NIC,"1,409,447","1,003,937",0,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
FB5,300R,BottomLayer,FB_0402-NIC,"2,267,715","1,318,898",270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
FB4,300R,BottomLayer,FB_0402-NIC,"2,330,707","1,318,898",270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
R11,8.06k,TopLayer,R_0402-N,"2,433,071","1,038,293",360,"Resistor, 8.06 kO, 1%, 0.06W, 0402",NRC04F8061TRF
R1,8.06k,TopLayer,R_0402-N,"1,566,929","1,003,937",90,"Resistor, 8.06 kO, 1%, 0.06W, 0402",NRC04F8061TRF
U5,AP2192A,TopLayer,soic_8,"2,067,913","850,197",180,"IC, USB Dual Switch w/ 1.5A Current Limit, SOIC-8",AP2192ASG-13
