Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Manufacture Part Number 1
PCB,LPC USB Analyzer v0.2,BottomLayer,LOGO-GIO,0,0,180,4 Layer Controlled Impedance PCB,
R19,BOOT MODE,BottomLayer,3PAD_0402_JMP_1-2,52.8,46.1,0,"3-pad, 0402, jumper",
R18,BOOT_0,BottomLayer,3PAD_0402_JMP_1-2,56.8,42,0,"3-pad, 0402, jumper",
R17,BOOT_1,BottomLayer,3PAD_0402_JMP_1-2,56.8,40.8,0,"3-pad, 0402, jumper",
R16,BOOT_2,BottomLayer,3PAD_0402_JMP_1-2,56.8,39.7,0,"3-pad, 0402, jumper",
R15,BOOT_3,BottomLayer,3PAD_0402_JMP_1-2,49.7,42.8,90,"3-pad, 0402, jumper",
J1,Type A,TopLayer,USB_A_F_SIDE_REVERSE_TH,24.3,17.5,0,"USB, Type A, Side Insert, Revese PinoutRA",C39452
J3,Type B,TopLayer,USB_B_F_RA_TH,36.4,19.855,0,CONN RCPT USB 2.0 TYPE B R/A 4PS,61729-1011BLF
R8,10k0,TopLayer,R_0402-N,59.065,23.9,180,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
C36,100n,TopLayer,C_0402_N,59.065,22.7,180,"Cap, Chip, 100nF, 16V, ±10%, X7R, 0402",NMC0402X7R104K16TRPF
U5,AP2192A,TopLayer,soic_8,52.525,21.595,180,"IC, USB Dual Switch w/ 1.5A Current Limit, SOIC-8",AP2152SG-13
R14,10k0,TopLayer,R_0402-N,50.3,18.1,360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R13,10k0,TopLayer,R_0402-N,50.3,25,360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R12,20k0,TopLayer,R_0402-N,41.1,23.9,180,"Resistor, 20 kO, 1%, 0.06W, 0402",NRC06F2002TRF
FB7,300R,BottomLayer,FB_0402-NIC,34.4,28.8,270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",NCB-H0402P301TR100F
FB6,300R,BottomLayer,FB_0402-NIC,35.8,25.5,0,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",NCB-H0402P301TR100F
R11,8.06k,TopLayer,R_0402-N,61.8,26.3727,360,"Resistor, 8.06 kO, 1%, 0.06W, 0402",
D2,0603 Green,TopLayer,D_0603,61.5,27.7,360,"0603 LED, Green",LTST-C190KGKT
S1,PTS840,TopLayer,SW_PTS840,62.6,22.7,90,"SWITCH SPST RA, 50mA, 24V, SMT",PTS840 GKP SMTR LFS
FB5,300R,BottomLayer,FB_0402-NIC,57.6,33.5,270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",NCB-H0402P301TR100F
FB4,300R,BottomLayer,FB_0402-NIC,59.2,33.5,270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",NCB-H0402P301TR100F
U2,MT48LC16M16A2B4-6A:G,TopLayer,VFBGA54_8x8,53.3,42.5,180,"256Mb PC133 SDR SDRAM, 16Mb x 16, 7.5ns, 3.3V, 0 to 70 degC, 54-Ball VFBGA, Pb-Free",
R7,10k0,TopLayer,R_0402-N,54.9,26.3,180,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R5,10k0,TopLayer,R_0402-N,54.9,27.3,360,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R4,10k0,TopLayer,R_0402-N,51,33.6,90,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
R3,10k0,TopLayer,R_0402-N,52,33.6,90,"Resistor, 10.0 kO, 1%, 0.06W, 0402",NRC04F1002TRF
C39,1u,TopLayer,C_0402_N,61.25,34.4,360,"Cap, Chip, 1uF, 10V, ±10%, X5R, 0402",NMC0402X5R105K10TRPF
